500340,65.30,"4:37",0.00,62.70,65.50,65.30,0
529650,23.00,"4:29",0.00,22.90,23.90,23.00,0
555750,72.50,"4:38",0.00,70.40,73.90,72.50,0
623100,67.80,"4:38",0.00,66.00,67.90,67.80,0
627500,33.40,"4:39",0.00,32.96,34.00,33.40,0
725754,37.00,"4:39",0.00,37.00,37.00,37.00,0
755140,16.00,"4:40",0.00,16.00,16.45,16.00,0
766403,25.65,"4:40",0.00,24.80,25.65,25.65,0
785600,27.50,"4:41",0.00,27.50,27.50,27.50,0
852016,52.00,"4:39",0.00,51.50,52.00,52.00,0
853687,130.00,"4:40",0.00,129.50,131.00,130.00,0
856244,29.00,"4:37",0.00,29.00,29.00,29.00,0
870747,74.30,"4:39",0.00,72.75,74.80,74.30,0
